测试套/软件包名,测试用例总数,通过,未通过,备注,总测试套数,总测试用例数,总通过用例数,总未通过用例数
openssh,7,4,3,,5,189,145,44
net-tools,4,2,2
os-basic,176,137,39
git,1,1,0
cpio,1,1,0
